 5 1000

       EOS file : /Users/dany/Work/NStar/eos/quark/strange_eos_03_145_150.dat 

    rhoc        rad    grav. mass   b. mass  red shift  % binding 
  6.717E-01  1.070E+01  1.692E+00  2.051E+00  7.283E-01  2.121E-01
  6.740E-01  1.070E+01  1.694E+00  2.054E+00  7.279E-01  2.124E-01
  6.763E-01  1.069E+01  1.697E+00  2.058E+00  7.274E-01  2.126E-01
  6.786E-01  1.069E+01  1.699E+00  2.061E+00  7.269E-01  2.129E-01
  6.809E-01  1.069E+01  1.701E+00  2.064E+00  7.265E-01  2.132E-01
  6.832E-01  1.069E+01  1.704E+00  2.067E+00  7.260E-01  2.134E-01
  6.856E-01  1.069E+01  1.706E+00  2.070E+00  7.256E-01  2.137E-01
  6.879E-01  1.069E+01  1.708E+00  2.073E+00  7.252E-01  2.140E-01
  6.903E-01  1.069E+01  1.710E+00  2.077E+00  7.247E-01  2.142E-01
  6.926E-01  1.069E+01  1.712E+00  2.080E+00  7.243E-01  2.145E-01
  6.950E-01  1.069E+01  1.714E+00  2.083E+00  7.239E-01  2.147E-01
  6.973E-01  1.069E+01  1.716E+00  2.085E+00  7.234E-01  2.150E-01
  6.997E-01  1.069E+01  1.719E+00  2.088E+00  7.230E-01  2.152E-01
  7.021E-01  1.069E+01  1.721E+00  2.091E+00  7.226E-01  2.155E-01
  7.045E-01  1.069E+01  1.723E+00  2.094E+00  7.222E-01  2.157E-01
  7.069E-01  1.068E+01  1.725E+00  2.097E+00  7.217E-01  2.160E-01
  7.093E-01  1.068E+01  1.727E+00  2.100E+00  7.213E-01  2.162E-01
  7.117E-01  1.068E+01  1.729E+00  2.103E+00  7.209E-01  2.165E-01
  7.141E-01  1.068E+01  1.731E+00  2.106E+00  7.205E-01  2.167E-01
  7.166E-01  1.068E+01  1.732E+00  2.108E+00  7.201E-01  2.169E-01
  7.190E-01  1.068E+01  1.734E+00  2.111E+00  7.197E-01  2.172E-01
  7.215E-01  1.068E+01  1.736E+00  2.114E+00  7.193E-01  2.174E-01
  7.239E-01  1.068E+01  1.738E+00  2.116E+00  7.189E-01  2.176E-01
  7.264E-01  1.067E+01  1.740E+00  2.119E+00  7.185E-01  2.178E-01
  7.289E-01  1.067E+01  1.742E+00  2.122E+00  7.181E-01  2.181E-01
  7.313E-01  1.067E+01  1.744E+00  2.124E+00  7.177E-01  2.183E-01
  7.338E-01  1.067E+01  1.745E+00  2.127E+00  7.173E-01  2.185E-01
  7.363E-01  1.067E+01  1.747E+00  2.129E+00  7.169E-01  2.187E-01
  7.388E-01  1.067E+01  1.749E+00  2.132E+00  7.165E-01  2.189E-01
  7.414E-01  1.066E+01  1.751E+00  2.134E+00  7.161E-01  2.191E-01
  7.439E-01  1.066E+01  1.752E+00  2.137E+00  7.157E-01  2.194E-01
  7.464E-01  1.066E+01  1.754E+00  2.139E+00  7.153E-01  2.196E-01
  7.490E-01  1.066E+01  1.756E+00  2.141E+00  7.149E-01  2.198E-01
  7.515E-01  1.066E+01  1.757E+00  2.144E+00  7.146E-01  2.200E-01
  7.541E-01  1.065E+01  1.759E+00  2.146E+00  7.142E-01  2.202E-01
  7.566E-01  1.065E+01  1.760E+00  2.148E+00  7.138E-01  2.204E-01
  7.592E-01  1.065E+01  1.762E+00  2.151E+00  7.134E-01  2.206E-01
  7.618E-01  1.065E+01  1.764E+00  2.153E+00  7.131E-01  2.208E-01
  7.644E-01  1.065E+01  1.765E+00  2.155E+00  7.127E-01  2.210E-01
  7.670E-01  1.064E+01  1.767E+00  2.157E+00  7.123E-01  2.212E-01
  7.696E-01  1.064E+01  1.768E+00  2.159E+00  7.120E-01  2.213E-01
  7.722E-01  1.064E+01  1.770E+00  2.162E+00  7.116E-01  2.215E-01
  7.749E-01  1.064E+01  1.771E+00  2.164E+00  7.112E-01  2.217E-01
  7.775E-01  1.063E+01  1.772E+00  2.166E+00  7.109E-01  2.219E-01
  7.802E-01  1.063E+01  1.774E+00  2.168E+00  7.105E-01  2.221E-01
  7.828E-01  1.063E+01  1.775E+00  2.170E+00  7.102E-01  2.223E-01
  7.855E-01  1.063E+01  1.777E+00  2.172E+00  7.098E-01  2.224E-01
  7.882E-01  1.063E+01  1.778E+00  2.174E+00  7.095E-01  2.226E-01
  7.908E-01  1.062E+01  1.779E+00  2.176E+00  7.091E-01  2.228E-01
  7.935E-01  1.062E+01  1.781E+00  2.178E+00  7.088E-01  2.230E-01
  7.962E-01  1.062E+01  1.782E+00  2.180E+00  7.084E-01  2.231E-01
  7.990E-01  1.061E+01  1.783E+00  2.181E+00  7.081E-01  2.233E-01
  8.017E-01  1.061E+01  1.785E+00  2.183E+00  7.077E-01  2.234E-01
