 5 1000    <---- Wrong number !

       EOS file : /Users/dany/Work/NStar/eos/quark/strange_eos_00_155_150.dat 

    rhoc        rad    grav. mass   b. mass  red shift  % binding 
  8.728E-01  9.423E+00  1.505E+00  1.799E+00  7.251E-01  1.949E-01
  8.758E-01  9.422E+00  1.507E+00  1.802E+00  7.247E-01  1.951E-01
  8.788E-01  9.421E+00  1.509E+00  1.804E+00  7.242E-01  1.954E-01
  8.818E-01  9.420E+00  1.511E+00  1.807E+00  7.238E-01  1.956E-01
  8.848E-01  9.420E+00  1.513E+00  1.809E+00  7.234E-01  1.959E-01
  8.878E-01  9.419E+00  1.515E+00  1.812E+00  7.230E-01  1.961E-01
  8.908E-01  9.418E+00  1.517E+00  1.814E+00  7.225E-01  1.964E-01
  8.939E-01  9.417E+00  1.518E+00  1.817E+00  7.221E-01  1.966E-01
  8.969E-01  9.416E+00  1.520E+00  1.819E+00  7.217E-01  1.968E-01
  9.000E-01  9.415E+00  1.522E+00  1.822E+00  7.213E-01  1.971E-01
  9.030E-01  9.414E+00  1.524E+00  1.824E+00  7.209E-01  1.973E-01
  9.061E-01  9.412E+00  1.525E+00  1.826E+00  7.205E-01  1.975E-01
  9.092E-01  9.411E+00  1.527E+00  1.829E+00  7.201E-01  1.978E-01
  9.123E-01  9.410E+00  1.529E+00  1.831E+00  7.196E-01  1.980E-01
  9.154E-01  9.409E+00  1.530E+00  1.833E+00  7.192E-01  1.982E-01
  9.185E-01  9.408E+00  1.532E+00  1.836E+00  7.188E-01  1.984E-01
  9.216E-01  9.406E+00  1.533E+00  1.838E+00  7.184E-01  1.987E-01
  9.248E-01  9.405E+00  1.535E+00  1.840E+00  7.180E-01  1.989E-01
  9.279E-01  9.403E+00  1.537E+00  1.843E+00  7.176E-01  1.991E-01
  9.311E-01  9.402E+00  1.538E+00  1.845E+00  7.172E-01  1.993E-01
  9.343E-01  9.401E+00  1.540E+00  1.847E+00  7.169E-01  1.995E-01
  9.375E-01  9.399E+00  1.541E+00  1.849E+00  7.165E-01  1.997E-01
  9.406E-01  9.397E+00  1.543E+00  1.851E+00  7.161E-01  1.999E-01
  9.439E-01  9.396E+00  1.544E+00  1.853E+00  7.157E-01  2.001E-01
  9.471E-01  9.394E+00  1.546E+00  1.855E+00  7.153E-01  2.003E-01
  9.503E-01  9.392E+00  1.547E+00  1.857E+00  7.149E-01  2.005E-01
  9.535E-01  9.391E+00  1.548E+00  1.859E+00  7.146E-01  2.007E-01
  9.568E-01  9.389E+00  1.550E+00  1.861E+00  7.142E-01  2.009E-01
  9.600E-01  9.387E+00  1.551E+00  1.863E+00  7.138E-01  2.011E-01
  9.633E-01  9.385E+00  1.553E+00  1.865E+00  7.134E-01  2.013E-01
  9.666E-01  9.384E+00  1.554E+00  1.867E+00  7.131E-01  2.015E-01
  9.699E-01  9.382E+00  1.555E+00  1.869E+00  7.127E-01  2.017E-01
  9.732E-01  9.380E+00  1.557E+00  1.871E+00  7.123E-01  2.019E-01
  9.765E-01  9.378E+00  1.558E+00  1.873E+00  7.120E-01  2.021E-01
  9.798E-01  9.376E+00  1.559E+00  1.875E+00  7.116E-01  2.022E-01
  9.832E-01  9.374E+00  1.561E+00  1.876E+00  7.113E-01  2.024E-01
  9.865E-01  9.372E+00  1.562E+00  1.878E+00  7.109E-01  2.026E-01
  9.899E-01  9.370E+00  1.563E+00  1.880E+00  7.105E-01  2.028E-01
  9.933E-01  9.367E+00  1.564E+00  1.882E+00  7.102E-01  2.030E-01
  9.966E-01  9.365E+00  1.565E+00  1.883E+00  7.098E-01  2.031E-01
  1.000E+00  9.363E+00  1.567E+00  1.885E+00  7.095E-01  2.033E-01
  1.003E+00  9.361E+00  1.568E+00  1.887E+00  7.092E-01  2.035E-01
  1.007E+00  9.359E+00  1.569E+00  1.889E+00  7.088E-01  2.036E-01
  1.010E+00  9.357E+00  1.570E+00  1.890E+00  7.085E-01  2.038E-01
  1.014E+00  9.354E+00  1.571E+00  1.892E+00  7.081E-01  2.040E-01
